property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime
PROP-ADA6EA3E0B0E,9.5,759.0,1.33,0.922,0.5,1.667,41.6,9.0,10.48,3.08,50.0,3.0,0.385,0.32,0.273,1.0,2.3514,6.6333,0.981,2.3026,3.9318,1.3863,0.3257,0.2776,0.2414,Bengaluru_Koramangala,Growth
PROP-84414600A189,9.5,425.0,1.5,0.833,0.0,1.147,14.5,0.0,1.97,1.49,34.4,18.0,0.377,0.085,0.091,0.0,2.3514,6.0544,0.7641,0.0,3.5667,2.9444,0.3199,0.0816,0.0871,Bengaluru_Kammanahalli,Stable
PROP-BDF4BCCD0BEE,9.5,660.0,2.0,0.833,0.846,1.0,35.9,0.0,7.77,1.5,30.0,6.0,0.794,0.343,0.158,0.0,2.3514,6.4938,0.6931,0.0,3.434,1.9459,0.5844,0.2949,0.1467,Bengaluru_Rachamanahalli,Growth
PROP-0F24070CF2D8,9.5,425.0,1.5,0.833,0.25,1.0,27.4,2.0,0.0,1.83,30.0,16.1538,0.288,0.227,0.349,1.0,2.3514,6.0544,0.6931,1.0986,3.434,2.8422,0.2531,0.2046,0.2994,Bengaluru_Anekal,Declining
PROP-15C6CB9EFBC4,9.5,187.5,0.5,0.833,0.5,0.267,22.6,0.0,0.0,1.83,8.0,0.8,1.131,0.08,0.083,0.0,2.3514,5.2391,0.2367,0.0,2.1972,0.5878,0.7566,0.077,0.0797,Bengaluru_Vibhutipura,Declining
PROP-DD7664BC160C,9.5,522.0,1.5,0.833,0.75,1.0,8.2,0.0,2.39,-0.75,30.0,10.5,0.242,0.072,0.068,0.0,2.3514,6.2596,0.6931,0.0,3.434,2.4423,0.2167,0.0695,0.0658,Bengaluru_Mattanahalli,Stable
PROP-2AFBE2785865,9.5,584.0,1.5,0.833,0.0,0.444,29.9,2.0,4.24,1.83,13.33,1.1538,0.359,0.456,0.195,1.0,2.3514,6.3716,0.3674,1.0986,2.6624,0.7672,0.3067,0.3757,0.1781,Bengaluru_Dooravani Nagar,Stable
PROP-2F02A76D25BA,9.5,240.0,0.4,0.833,0.5,0.894,27.3,0.0,7.77,1.5,26.82,3.5077,0.218,0.471,0.179,0.0,2.3514,5.4848,0.6387,0.0,3.3258,1.5058,0.1972,0.3859,0.1647,Bengaluru_Jp Nagar,Growth
PROP-84A565DDA699,9.5,800.0,1.5,0.833,0.5,1.0,25.1,0.0,7.77,1.5,30.0,5.6,0.244,0.235,0.158,0.0,2.3514,6.6859,0.6931,0.0,3.434,1.8871,0.2183,0.2111,0.1467,Bengaluru_Thotada Guddadhalli Village,Growth
PROP-5B1D193B8BEF,9.5,400.0,1.0,0.833,0.5,0.708,29.4,0.0,10.18,2.02,21.25,2.2364,0.531,0.234,0.146,0.0,2.3514,5.994,0.5353,0.0,3.1023,1.1745,0.4259,0.2103,0.1363,Bengaluru_Chandapura,Growth
PROP-3990A80B7E88,9.5,602.5,1.5,0.833,0.5,0.635,16.3,0.0,1.98,1.61,19.05,4.68,0.252,0.148,0.173,0.0,2.3514,6.4027,0.4916,0.0,2.9982,1.737,0.2247,0.138,0.1596,Bengaluru_Devarachikkana Halli,Stable
