property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,historical_locality_median_ppsf,historical_rental_yield_pct,derived_historical_rental_yield_log1p
PROP-80F20CEDBC6E,7500000,Delhi,Uttam Nagar,Independent House,3,3,0,800,,,,,,28.42118338749854,77.47113236444922,12.023,10.03,4.389,18.506,4.716,3.422,7.226,10.3,12625.0,12000.0,18.78,28.0,122.06,1.24,3.98,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,117,64,106,117,193.0,266.667,1.0,,,5.589743670607889,,2.984671326194566,5555.56,3.2399974080020737,1.444562657923414
PROP-9FF8CDEF8D2F,7200000,Mumbai,Mira Road East,Apartment,1,2,0,654,21.0,22.0,,,,19.197998553696173,72.76651439546016,4.522,6.459,1.88,17.115,6.499,7.656,0.273,24.5,102803.9,60000.0,83.05,1696.0,121.27,2.25,5.39,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,23.6,55.0,13.0,9,0.667,2,43,22,37,43,75.3,654.0,2.0,,0.955,6.484635235635252,,4.431411859854625,10732.145,10.258130422135189,2.4210905718153057
PROP-F228522B5582,9900000,Chennai,Madipakkam,Apartment,3,3,1,1000,1.0,1.0,,,,13.259040616375067,80.50505709802484,4.007,10.036,5.49,17.849,15.545,8.699,8.973,10.1,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,41,23,38,41,62.0,333.333,1.0,,1.0,5.812137502284356,,,5600.45,,
PROP-BD52F5A8E535,11000000,Chennai,Choolaimedu,Apartment,3,3,1,1260,0.0,2.0,,,,12.944735930184413,80.23243586767369,2.135,3.855,3.619,4.461,6.307,5.698,4.452,28.5,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,88.1,42.0,37.0,9,0.667,2,29,15,25,29,51.7,420.0,1.0,0.762,0.0,6.042632833682381,0.5664495275139878,,5648.865,,
PROP-C11A209BA739,35000000,Mumbai,Borivali West,Apartment,3,3,1,1300,4.0,21.0,,,,18.86840065738881,72.58436989984196,5.908,11.049,7.102,36.068,15.724,6.975,14.855,6.0,42866.67,40000.0,69.09,30.0,121.27,2.25,5.39,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,75.0,24.0,18.0,8,0.75,1,43,22,37,43,75.3,433.333,1.0,,0.19,6.073811520996733,,4.249780130512233,19877.68,1.8575144042502405,1.0499521575316006
PROP-D25A073EA88B,11000000,Chennai,Kil Ayanambakkam,Independent House,6,4,1,2000,,,,,,12.85133879342307,80.19599619332064,0.716,14.3,11.209,15.345,15.918,8.948,5.754,21.0,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,15,25,29,51.7,333.333,0.667,,,5.812137502284356,,,5253.1,,
PROP-D6A8208E5BE0,12500000,Bengaluru,Varthur,Independent House,9,2,1,3920,,,,,,12.815833619069853,77.5181325201549,4.129,3.474,5.955,13.864,2.238,7.003,3.269,24.0,36600.0,35000.0,32.46,15.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,16,26,29,51.3,435.556,0.222,,,6.078916660292478,,3.510350695558678,4700.0,2.2796352583586628,1.187732214492763
PROP-672B55DB8441,700000,Bengaluru,Hulimavu,Independent House,2,2,0,600,,,,,,13.006449448793145,77.55138515728964,1.318,3.538,0.157,1.825,4.24,3.727,1.068,53.9,45222.22,30000.0,27.23,9.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,33,17,29,33,50.0,300.0,1.0,,,5.707110264748875,,3.340385242265398,6512.530000000001,9.213009383450055,2.323662337370636
PROP-D6F0CBD672E4,2500000,Delhi,Jaitpur,Independent House,3,2,1,500,,,,,,28.53516906390153,77.18861494334637,3.515,2.883,3.789,4.075,5.942,5.177,2.843,28.4,41733.14,22000.0,27.78,1758.0,122.06,1.24,3.98,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,99,56,92,99,169.0,166.667,0.667,,,5.121979869501224,,3.359680701459222,3146.07,16.7828433569501,2.8782341361386923
PROP-64388C5569CD,5500000,Bengaluru,Mahadevapura,Apartment,2,3,0,1350,2.0,3.0,,,East,13.123306326851482,77.5486448737885,3.447,1.844,7.123,11.843,3.87,8.119,0.917,28.0,36950.0,31000.0,39.04,10.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,61.4,57.0,35.0,11,0.545,1,33,17,29,33,50.0,675.0,1.5,,0.667,6.516193076042964,,3.68987895444702,6195.175,4.447905919615758,1.695231299905108
PROP-C46A0445B3EA,3300000,Chennai,Melakottaiyur,Apartment,2,3,1,850,0.0,,,,,12.87402613922496,80.19585722851689,1.883,11.837,8.689,13.155,14.042,8.703,3.82,15.7,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,15,25,29,51.7,425.0,1.5,,,6.054439346269371,,,5555.56,,
PROP-B17DC3753847,7900000,Bengaluru,Kalkere,Apartment,3,3,0,1480,0.0,5.0,,,,13.063623265186694,77.59205805841606,2.108,2.046,1.976,7.747,4.381,2.402,3.353,41.0,56584.17,35000.0,30.0,1777.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,32.4,37.0,12.0,15,0.667,0,33,17,29,33,50.0,493.333,1.0,,0.0,6.203209379160762,,3.4339872044851463,5259.575,5.395564922713029,1.8556047693173383
PROP-65CBC9022368,14000000,Bengaluru,Kattigenahalli,Independent House,7,2,1,3500,,,,,,12.986742763470367,77.62821694571846,1.794,1.882,0.834,1.462,2.517,2.504,1.118,54.6,60000.0,60000.0,20.98,1.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,33,17,29,33,50.0,500.0,0.286,,,6.2166061010848646,,3.090132948975475,3971.775,5.179404314551698,1.8212218775927425
PROP-D19601FA2569,30500000,Mumbai,Santacruz East,Apartment,3,3,0,1300,4.0,9.0,,,,19.24618629328324,72.95651596176785,2.951,3.474,4.704,11.822,12.519,1.978,2.052,25.8,75611.11,85000.0,80.95,9.0,121.27,2.25,5.39,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,74.3,35.0,26.0,10,0.6,1,51,26,44,51,80.0,433.333,1.0,,0.444,6.073811520996733,,4.406109305189839,18360.655,4.273351820048819,1.6626661793635122
PROP-639A2572325C,4100000,Hyderabad,Mettakanigudem,Apartment,2,3,1,966,1.0,10.0,1.0,,,17.617655535561457,78.30800639826707,10.256,12.326,8.493,25.271,15.429,5.753,12.721,3.5,,,,,124.31,1.89,5.61,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,35.0,40.0,14.0,9,0.778,0,39,21,34,39,72.0,483.0,1.5,,0.1,6.182084906716632,,,5925.93,,
PROP-A4A089F44ABB,17500000,Chennai,Pazhavanthangal,Apartment,3,3,1,1635,4.0,4.0,,,,13.070024552154024,80.42076855898782,4.909,1.661,2.814,3.67,9.858,7.073,2.149,25.3,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Completed,100.0,58.0,60.0,22,0.727,0,41,23,38,41,62.0,545.0,1.0,,1.0,6.302618975744905,,,5555.56,,
PROP-64F1DC9F7AFF,8000000,Delhi,Mayur Vihar Phase 3,Apartment,2,3,0,900,0.0,3.0,,,East,28.83686740568255,77.16275217274331,1.507,4.553,6.23,10.551,5.992,2.318,6.061,29.5,12000.0,15000.0,15.0,3.0,122.06,1.24,3.98,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,117,64,106,117,193.0,450.0,1.5,,0.0,6.111467339502679,,2.772588722239781,6976.74,2.8666683866676985,1.3523932542719634
PROP-6B767F5AD862,4800000,Bengaluru,Aavalahalli,Independent House,3,3,1,1500,,2.0,,,North,12.742934041855404,77.59556701059088,5.664,5.881,6.67,23.3,7.061,0.973,3.278,20.2,56584.17,35000.0,30.0,1777.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,16,26,29,51.3,500.0,1.0,,,6.2166061010848646,,3.4339872044851463,3815.79,7.33793002235448,2.1208149868057906
PROP-EEE02F4FDB5A,8750000,Bengaluru,Bellandur,Apartment,3,3,0,1342,0.0,4.0,,,,13.064678774360276,77.38065884277945,3.587,8.441,2.453,13.554,9.245,4.785,3.211,18.5,81153.85,50000.0,38.46,13.0,122.51,1.83,4.24,Stable,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,79.2,24.0,19.0,18,0.833,1,33,17,29,33,50.0,447.333,1.0,,0.0,6.10553625987313,,3.675287500594469,6875.0,6.503183850426772,2.0153274438521844
